event_time,internal_ip,port_number,protocol,action,rule_id,rule_description,as_domain,as_name,asn,continent,continent_name,country,country_name,source_ip
2022-01-01 00:18:38 UTC,10.248.203.131,20,FTP - Data,Allow,186,Allow traffic for mobile device management (MDM) services,greenhousedata.com,"Lunavi, Inc.",AS6295,NA,North America,US,United States,216.57.223.121
2022-01-01 00:32:27 UTC,172.27.117.35,25,SMTP - Simple Mail Transfer Protocol,Deny,159,Block traffic for known buffer overflow communication patterns,infosys.su,Informatsionniye Systemy i Technologii CJSC.,AS16323,EU,Europe,RU,Russia,194.8.229.105
2022-01-01 00:52:21 UTC,10.144.77.12,993,IMAPS - Encrypted IMAP,Allow,308,Allow traffic for remote desktop support tools,hostiserver.com,Hostiserver Ltd,AS32338,EU,Europe,GB,United Kingdom,185.213.89.89
2022-01-01 00:57:07 UTC,10.128.66.93,137,NetBIOS Name Service,Deny,85,Block traffic for known XSS payloads,cloudflare.com,"Cloudflare, Inc.",AS13335,AS,Asia,CN,China,104.28.216.189
2022-01-01 01:15:17 UTC,192.168.75.62,143,IMAP - Internet Message Access Protocol,Allow,64,Allow traffic for certificate revocation checks,xponet.net,Xponet,AS21973,NA,North America,US,United States,63.85.166.138
2022-01-01 01:25:52 UTC,10.169.15.156,21,FTP - Control,Allow,306,Allow traffic for network printer discovery,cybera.ca,Cybera Inc,AS15296,NA,North America,CA,Canada,198.161.213.228
2022-01-01 01:41:58 UTC,192.168.222.75,1194,OpenVPN,Log,359,Log LDAP traffic for directory services,gtt.net,GTT Communications Netherlands B.V.,AS5580,AS,Asia,HK,Hong Kong,64.235.250.168
2022-01-01 01:52:45 UTC,192.168.104.177,636,LDAPS - Encrypted LDAP,Warning,457,Warn on repeated RDP connection attempts to specific workstations,tzulo.com,"tzulo, inc.",AS11878,AS,Asia,TR,Turkey,23.255.93.103
2022-01-01 02:11:36 UTC,172.24.85.243,143,IMAP - Internet Message Access Protocol,Allow,166,Allow traffic for network backup and recovery,quadranet.com,QuadraNet Enterprises LLC,AS8100,NA,North America,US,United States,208.52.147.105
2022-01-01 02:13:43 UTC,192.168.47.193,67,DHCP - Dynamic Host Configuration Protocol (Server),Allow,204,Allow traffic for remote desktop support tools,akamai.com,"Akamai Technologies, Inc.",AS32787,NA,North America,US,United States,72.52.16.202
2022-01-01 02:27:19 UTC,192.168.0.149,995,POP3S - Encrypted POP3,Allow,16,Allow incoming SNMP traffic for network monitoring,simoresta.lt,Simoresta UAB,AS211373,EU,Europe,FR,France,91.208.69.0
2022-01-01 02:48:12 UTC,172.26.169.11,5060,SIP - Session Initiation Protocol,Deny,291,Block traffic for known privilege escalation communication patterns,sibset.ru,Sibirskie Seti Ltd.,AS34757,EU,Europe,RU,Russia,85.118.224.10
2022-01-01 02:56:31 UTC,192.168.32.63,993,IMAPS - Encrypted IMAP,Log,375,Log traffic to unused or deprecated services,telecomitalia.com,Telecom Italia S.p.A.,AS47224,EU,Europe,IT,Italy,193.169.242.74
2022-01-01 03:03:02 UTC,192.168.72.245,514,Syslog,Log,391,Log traffic for known buffer overflow attempts,telin.net,PT Telekomunikasi Indonesia,AS7713,AS,Asia,SG,Singapore,36.95.197.45
2022-01-01 03:21:34 UTC,172.26.61.227,995,POP3S - Encrypted POP3,Warning,461,Warn on multiple VPN connection attempts to the corporate network,gblnet.net,Global Network Management Inc,AS31500,EU,Europe,UA,Ukraine,109.239.130.152
2022-01-01 03:38:54 UTC,172.25.80.157,3389,RDP - Remote Desktop Protocol,Allow,212,Allow traffic for mobile device management (MDM) services,akamai.com,"Akamai Technologies, Inc.",AS36183,EU,Europe,GB,United Kingdom,172.225.229.75
2022-01-01 03:43:09 UTC,192.168.104.10,143,IMAP - Internet Message Access Protocol,Allow,20,Allow SQL database access from trusted hosts,facebook.com,"Facebook, Inc.",AS32934,EU,Europe,GB,United Kingdom,129.134.93.175
2022-01-01 04:03:44 UTC,192.168.227.213,443,HTTPS,Allow,132,Allow traffic for network time synchronization,gtt.net,GTT Communications Inc.,AS3257,EU,Europe,GB,United Kingdom,87.86.76.139
2022-01-01 04:06:51 UTC,192.168.162.83,5060,SIP - Session Initiation Protocol,Allow,146,Allow traffic for third-party API integrations,incapsula.com,Incapsula Inc,AS19551,NA,North America,US,United States,107.154.148.26
2022-01-01 04:26:29 UTC,10.96.247.230,20,FTP - Data,Allow,146,Allow traffic for third-party API integrations,mail.mil,DoD Network Information Center,AS749,NA,North America,US,United States,11.99.73.63
2022-01-01 04:32:51 UTC,10.133.38.22,21,FTP - Control,Allow,92,Allow traffic for third-party API integrations,northlandcable.com,NORTHLAND CABLE TELEVISION INC.,AS40285,NA,North America,US,United States,24.213.122.173
2022-01-01 04:49:06 UTC,10.66.172.199,161,SNMP - Simple Network Management Protocol,Deny,307,Block traffic for known ransomware communication patterns,mail.mil,DoD Network Information Center,AS749,AS,Asia,CN,China,11.177.69.220
2022-01-01 04:54:12 UTC,10.200.87.244,20,FTP - Data,Log,367,Log traffic with spoofed source IP addresses,telstraglobal.com,Telstra Global,AS4637,AS,Asia,HK,Hong Kong,210.57.53.74
2022-01-01 05:12:06 UTC,172.23.137.58,161,SNMP - Simple Network Management Protocol,Deny,53,Block traffic for known clickjacking attempts,crimeastar.net,"Private Company Center for Development Information Technology ""Gigabyte""",AS198293,EU,Europe,RU,Russia,81.162.77.206
2022-01-01 05:19:26 UTC,192.168.214.190,636,LDAPS - Encrypted LDAP,Allow,306,Allow traffic for network printer discovery,att.com,"AT&T Services, Inc.",AS7018,NA,North America,US,United States,206.141.251.138
2022-01-01 05:39:13 UTC,172.27.111.142,5060,SIP - Session Initiation Protocol,Allow,24,Allow FTP downloads from a remote server,microsoft.com,Microsoft Corporation,AS8075,NA,North America,US,United States,111.221.27.224
2022-01-01 05:42:01 UTC,172.31.144.243,123,NTP - Network Time Protocol,Allow,316,Allow traffic for mobile device management (MDM) services,claro.com.do,Compañía Dominicana de Teléfonos S. A.,AS6400,NA,North America,CA,Canada,186.7.146.123
2022-01-01 06:02:03 UTC,192.168.97.121,68,DHCP - Dynamic Host Configuration Protocol (Client),Warning,496,Warn on access to known phishing websites,microsoft.com,Microsoft Corporation,AS8075,AS,Asia,QA,Qatar,172.207.15.25
2022-01-01 06:10:20 UTC,10.59.249.6,138,NetBIOS Datagram Service,Log,382,Log traffic to deprecated SSL certificate authorities,verizonbusiness.com,Verizon Business,AS703,AS,Asia,SG,Singapore,140.222.192.247
